id,employee_id,position_id,start_date,salary,bonus,pension_contribution,vacation_allowance
13d9452b-a72a-4894-b29b-bf7066b53d76,83524916-427f-4372-8ecd-9d1e659863d6,ca800f48-24a3-4802-9779-138796462142,1990-04-01,51182.0,0.0,3412.13,76773.0
c7037d16-f48e-4e1a-bc8e-0ffd9eb0d2aa,3acc185e-4c68-4cc3-8486-b2d5b8cdaeec,ca800f48-24a3-4802-9779-138796462142,1990-07-01,53382.0,0.0,3558.8,80073.0
76176ed5-f518-4e8b-ba97-1b2e4af91d1d,3164c559-701d-4e96-b385-aa91f2e48ffa,45b743f6-aa8e-4bc9-aac1-4020269a90ea,1990-07-01,38000.0,3040.0,2533.33,57000.0
bd02de6a-7a64-4eb4-a24f-c50bcac63570,3164c559-701d-4e96-b385-aa91f2e48ffa,27e4edca-2855-42d4-95e7-f02fda93317a,1991-01-01,39895.58,3138.08,2659.71,59843.37
5b28ee25-2289-442d-9394-deba79782d3d,3acc185e-4c68-4cc3-8486-b2d5b8cdaeec,ca800f48-24a3-4802-9779-138796462142,1991-01-01,55187.61,0.0,3679.17,82781.42
b56c1140-e4ab-4b12-8a14-768b1336357d,83524916-427f-4372-8ecd-9d1e659863d6,ca800f48-24a3-4802-9779-138796462142,1991-01-01,53634.46,0.0,3575.63,80451.69
b6d91e92-f7aa-4b90-a40a-0300608f1bec,3164c559-701d-4e96-b385-aa91f2e48ffa,27e4edca-2855-42d4-95e7-f02fda93317a,1992-01-01,41842.48,3243.31,2789.5,62763.72
5b516cff-5523-44b5-a81c-ffc159dd8ab9,83524916-427f-4372-8ecd-9d1e659863d6,ca800f48-24a3-4802-9779-138796462142,1992-01-01,55493.98,0.0,3699.6,83240.97
8fbec7b0-0d1e-4070-b233-23d05705b201,3acc185e-4c68-4cc3-8486-b2d5b8cdaeec,ca800f48-24a3-4802-9779-138796462142,1992-01-01,57281.16,0.0,3818.74,85921.74
39681188-a487-4b84-8be8-acc10483961e,aa4ae05d-55ad-4fcb-9e8e-099f8a49579d,1b1f9de8-7779-417b-a506-45ca3cfe4def,1992-04-01,45415.0,0.0,3027.67,68122.5
faf22733-8677-40d5-991f-298d2bd21ada,aca6a7a8-4240-4b4e-942a-029b024f5254,1b1f9de8-7779-417b-a506-45ca3cfe4def,1992-11-01,44590.0,0.0,2972.67,66885.0
ca6c4d88-5a68-4ea5-90fa-f117f3774951,83524916-427f-4372-8ecd-9d1e659863d6,ca800f48-24a3-4802-9779-138796462142,1993-01-01,57544.29,0.0,3836.29,86316.43
af1ea174-7a38-4704-8574-cc7b9be3f2a8,3acc185e-4c68-4cc3-8486-b2d5b8cdaeec,ca800f48-24a3-4802-9779-138796462142,1993-01-01,59063.91,0.0,3937.59,88595.87
3fa347e2-efe0-4796-b5ad-07c0fc0fb6ac,aa4ae05d-55ad-4fcb-9e8e-099f8a49579d,1b1f9de8-7779-417b-a506-45ca3cfe4def,1993-01-01,47267.88,0.0,3151.19,70901.82
11f31a35-53bc-499c-80de-49eefd7c37c3,441c0409-0e6f-4d03-b9ea-e1a05fad4e8b,b56c4013-6523-40e5-bc23-4284a1e4b4da,1993-03-01,44678.0,6701.0,2978.53,67017.0
7298e1ce-ef2a-4182-90f6-a41ce32cfec1,8699a2d4-347c-438d-b567-f82e9e2137cd,1b1f9de8-7779-417b-a506-45ca3cfe4def,1993-08-01,40458.0,0.0,2697.2,60687.0
255de4f7-4311-413b-8efa-5c57f72ca172,6032309b-605f-4ff0-8aa9-e63e6826e31e,1b1f9de8-7779-417b-a506-45ca3cfe4def,1993-11-01,44100.0,0.0,2940.0,66150.0
60447e13-d5b0-471b-9b15-5f7acd5dfb62,5b62b5df-c8ee-4bc7-83e3-a9164e210205,b56c4013-6523-40e5-bc23-4284a1e4b4da,1993-12-01,42866.0,6429.0,2857.73,64299.0
70163601-bec8-4490-8a27-f637556322bd,83524916-427f-4372-8ecd-9d1e659863d6,ca800f48-24a3-4802-9779-138796462142,1994-01-01,59329.9,0.0,3955.33,88994.85
5520c2ac-16c3-45d2-936c-54880476c416,441c0409-0e6f-4d03-b9ea-e1a05fad4e8b,b56c4013-6523-40e5-bc23-4284a1e4b4da,1994-01-01,46218.96,6955.21,3081.26,69328.44
6ac3ab15-47d3-4ac7-a0b7-ed41a2b52821,8699a2d4-347c-438d-b567-f82e9e2137cd,1b1f9de8-7779-417b-a506-45ca3cfe4def,1994-01-01,41783.81,0.0,2785.59,62675.71
afd9abb8-c6b8-4eb8-ad3d-eb1c33035e8d,5b62b5df-c8ee-4bc7-83e3-a9164e210205,b56c4013-6523-40e5-bc23-4284a1e4b4da,1994-01-01,44259.65,6680.63,2950.64,66389.48
0dbdd3fa-f437-4664-9a77-0bd121515dd5,3acc185e-4c68-4cc3-8486-b2d5b8cdaeec,ca800f48-24a3-4802-9779-138796462142,1994-01-01,61764.83,0.0,4117.66,92647.24
64c7ca57-97ce-47ca-b30e-47398ca70826,5f99dde7-44d0-48b4-8bfd-864ea3faf2ae,ba55a34e-7c02-4224-adb8-e673810d8c8a,1994-05-01,35974.0,0.0,2398.27,53961.0
a9573f65-3196-44ce-8b1b-271ef68439b1,c7a30f19-504c-40bc-8f89-2d57d3f72bfa,ba55a34e-7c02-4224-adb8-e673810d8c8a,1994-05-01,31245.0,0.0,2083.0,46867.5
f9810ed6-197b-45ea-bb65-1cf89cf4c064,94d2feb8-1c70-41e2-bdfa-1945de66b0f6,ddae60da-e7a3-4217-a385-c24a598d356b,1994-07-01,64557.0,5164.0,4303.8,96835.5
2e1fbc51-2e44-4361-a40f-31300a135d01,bdb76c77-9600-4e38-a79d-0737669bd034,ba55a34e-7c02-4224-adb8-e673810d8c8a,1994-09-01,31418.0,0.0,2094.53,47127.0
957b1ec3-014f-49ec-93ce-b69746e9ee30,5396b499-bae9-4848-abae-d9c1aefdae6f,ba55a34e-7c02-4224-adb8-e673810d8c8a,1994-09-01,34584.0,0.0,2305.6,51876.0
734a1264-9c78-4d61-a90f-ff2ee5b50127,5396b499-bae9-4848-abae-d9c1aefdae6f,1b1f9de8-7779-417b-a506-45ca3cfe4def,1995-01-01,36118.89,0.0,2407.93,54178.33
b994081f-f5c2-41f5-a4e5-7d7d7e270267,5b62b5df-c8ee-4bc7-83e3-a9164e210205,b56c4013-6523-40e5-bc23-4284a1e4b4da,1995-01-01,45701.97,6933.45,3046.8,68552.96
c43e9ae6-d895-40a6-8e50-da807fedb67b,c7a30f19-504c-40bc-8f89-2d57d3f72bfa,ba55a34e-7c02-4224-adb8-e673810d8c8a,1995-01-01,32366.33,0.0,2157.76,48549.5
74e834fd-e9ed-4a27-b5a5-3671c1349b13,83524916-427f-4372-8ecd-9d1e659863d6,ca800f48-24a3-4802-9779-138796462142,1995-01-01,61220.03,0.0,4081.34,91830.04
d81dd024-00c0-452c-ba7a-b58323d43436,94d2feb8-1c70-41e2-bdfa-1945de66b0f6,ddae60da-e7a3-4217-a385-c24a598d356b,1995-01-01,66801.66,5374.34,4453.44,100202.49
1eeaedc6-55f6-4548-adcd-26a2a542bef4,bdb76c77-9600-4e38-a79d-0737669bd034,ba55a34e-7c02-4224-adb8-e673810d8c8a,1995-01-01,32946.76,0.0,2196.45,49420.14
a3bfcb6e-2b3b-48db-8968-6fe5dba09142,391257a5-645e-48e4-86ee-aad5e48e58ef,ca800f48-24a3-4802-9779-138796462142,1995-01-01,50300.0,0.0,3353.33,75450.0
36f6596c-e75f-498f-a74f-039c4d6fe4ed,8699a2d4-347c-438d-b567-f82e9e2137cd,1b1f9de8-7779-417b-a506-45ca3cfe4def,1995-01-01,43728.22,0.0,2915.21,65592.33
9f9b70ad-9cc3-44c5-9301-fde7187d429a,441c0409-0e6f-4d03-b9ea-e1a05fad4e8b,5f44c938-ac3c-465f-9666-79f5052139aa,1995-01-01,47796.83,7278.96,3186.46,71695.24
a937c13d-7bbb-4e63-ba69-6a79ccd8e68c,4c89703c-c319-4274-8b64-b5b10798c1a1,ba55a34e-7c02-4224-adb8-e673810d8c8a,1995-06-01,36905.0,0.0,2460.33,55357.5
02a4e3fc-ccd5-48d6-bb88-e863bafa7b5d,c9e19656-de20-4782-a1c1-9b31f8297836,ba55a34e-7c02-4224-adb8-e673810d8c8a,1995-07-01,34389.0,0.0,2292.6,51583.5
be62288a-a41b-48b4-8bde-e3d07643f85c,311ef9c3-8099-4f78-815f-f5772811ed43,ba55a34e-7c02-4224-adb8-e673810d8c8a,1995-11-01,32915.0,0.0,2194.33,49372.5
795997a1-2b9e-48f4-b81a-0fa96da1eda3,311ef9c3-8099-4f78-815f-f5772811ed43,ba55a34e-7c02-4224-adb8-e673810d8c8a,1996-01-01,34486.73,0.0,2299.12,51730.1
2bbb4b7e-e6f8-4e10-82c5-ce9117f4bdeb,bdb76c77-9600-4e38-a79d-0737669bd034,ba55a34e-7c02-4224-adb8-e673810d8c8a,1996-01-01,33935.98,0.0,2262.4,50903.97
22ebc1da-6c5f-470f-9586-121eb8fb041e,441c0409-0e6f-4d03-b9ea-e1a05fad4e8b,5f44c938-ac3c-465f-9666-79f5052139aa,1996-01-01,49597.86,7600.77,3306.52,74396.79
c952b649-0664-491f-ae08-c61073746142,c7a30f19-504c-40bc-8f89-2d57d3f72bfa,1b1f9de8-7779-417b-a506-45ca3cfe4def,1996-01-01,33975.51,0.0,2265.03,50963.26
bc39b38c-b27e-4e32-a8fb-0a0bdca3f0a5,5b62b5df-c8ee-4bc7-83e3-a9164e210205,5f44c938-ac3c-465f-9666-79f5052139aa,1996-01-01,47617.43,7154.68,3174.5,71426.15
